LECROYHDO6104,18334,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,16-Feb-2016 09:42:00,0                 
Time,Ampl
-0.0052000419,0.0012
-0.0051999419,0.00628
-0.0051998419,0.0018
-0.0051997419,0.00088
-0.0051996419,0.00584
-0.0051995419,0.0006
-0.0051994419,0.0062
-0.0051993419,-0.0008
-0.0051992419,0.00728
-0.0051991419,-0.00192
-0.0051990419,0.00528
-0.0051989419,-0.00352
-0.0051988419,0.00232
-0.0051987419,0.00476
-0.0051986419,-0.00164
-0.0051985419,-0.0004
-0.0051984419,-4e-005
-0.0051983419,0.00576
-0.0051982419,-0.00316
-0.0051981419,0.002
-0.0051980419,-0.00024
-0.0051979419,0.00228
-0.0051978419,0.00016
-0.0051977419,-0.0018
-0.0051976419,0.0002
-0.0051975419,-0.003
-0.0051974419,0.00492
-0.0051973419,-0.00648
-0.0051972419,0.00316
-0.0051971419,-0.0034
-0.0051970419,0.00104
-0.0051969419,-0.00232
-0.0051968419,0.0004
-0.0051967419,0.00184
-0.0051966419,-0.00304
-0.0051965419,0.0008
-0.0051964419,-0.0034
-0.0051963419,0.00356
-0.0051962419,-0.0044
-0.0051961419,0.00112
-0.0051960419,-0.003
-0.0051959419,0.0024
-0.0051958419,0.00288
-0.0051957419,-0.0028
-0.0051956419,0.0026
-0.0051955419,-0.0006
-0.0051954419,0.0046
-0.0051953419,-0.00608
-0.0051952419,0.00504
-0.0051951419,-0.00152
-0.0051950419,0.00116
-0.0051949419,-0.00148
-0.0051948419,0.0036
-0.0051947419,0.00148
-0.0051946419,-0.00148
-0.0051945419,0.0024
-0.0051944419,-0.00312
-0.0051943419,0.00352
-0.0051942419,-0.00316
-0.0051941419,0.00268
-0.0051940419,-0.00308
-0.0051939419,0.00472
-0.0051938419,0.00068
-0.0051937419,-0.00136
-0.0051936419,0.00108
-0.0051935419,-0.0006
-0.0051934419,0.00504
-0.0051933419,-0.00436
-0.0051932419,0.00472
-0.0051931419,-0.00092
-0.0051930419,0.00324
-0.0051929419,-0.0018
-0.0051928419,0.0022
