LECROYHDO6104,18334,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,16-Feb-2016 09:52:20,0                 
Time,Ampl
-0.2500026,0.00592
-0.2499976,0.00928
-0.2499926,0.01252
-0.2499876,0.00552
-0.2499826,0.00844
-0.2499776,0.00256
-0.2499726,0.0094
-0.2499676,0.00564
-0.2499626,0.00868
-0.2499576,0.0052
-0.2499526,0.0104
-0.2499476,0.00736
-0.2499426,0.01384
-0.2499376,0.00528
-0.2499326,0.0104
-0.2499276,0.00232
-0.2499226,0.00556
-0.2499176,0.00548
-0.2499126,0.01044
-0.2499076,0.0076
-0.2499026,0.01308
-0.2498976,0.0006
-0.2498926,0.00908
-0.2498876,0.00404
-0.2498826,0.00428
-0.2498776,0.0004
-0.2498726,0.00676
-0.2498676,0.00284
-0.2498626,0.00936
-0.2498576,0.00416
-0.2498526,0.00652
-0.2498476,0.00344
-0.2498426,0.00736
-0.2498376,0.00736
-0.2498326,0.0126
-0.2498276,0.00628
-0.2498226,0.00964
-0.2498176,-0.00144
-0.2498126,0.00596
-0.2498076,0.00236
-0.2498026,0.01264
-0.2497976,0.00644
-0.2497926,0.01096
-0.2497876,0.00212
-0.2497826,0.00716
-0.2497776,-8e-005
-0.2497726,0.00696
-0.2497676,0.0052
-0.2497626,0.01028
-0.2497576,0.00624
-0.2497526,0.012
-0.2497476,0.00308
-0.2497426,0.00648
-0.2497376,0.00064
-0.2497326,0.0086
-0.2497276,0.00596
-0.2497226,0.00896
-0.2497176,0.00404
-0.2497126,0.0058
-0.2497076,0.00232
-0.2497026,0.00484
-0.2496976,0.00124
-0.2496926,0.0102
-0.2496876,0.00748
-0.2496826,0.00852
-0.2496776,0.00344
-0.2496726,0.00652
-0.2496676,0.00328
-0.2496626,0.00856
-0.2496576,0.00284
-0.2496526,0.00924
-0.2496476,0.00524
-0.2496426,0.01252
-0.2496376,0.00652
-0.2496326,0.01292
-0.2496276,0.00436
-0.2496226,0.00476
-0.2496176,0.0018
-0.2496126,0.00712
-0.2496076,0.00456
-0.2496026,0.0116
-0.2495976,0.00548
-0.2495926,0.01036
-0.2495876,0.00244
-0.2495826,0.00788
-0.2495776,0.00412
-0.2495726,0.00968
-0.2495676,0.007
-0.2495626,0.01156
-0.2495576,0.0028
-0.2495526,0.01176
-0.2495476,8e-005
-0.2495426,0.01088
-0.2495376,0.00244
-0.2495326,0.0094
-0.2495276,0.00464
-0.2495226,0.01432
-0.2495176,0.00724
-0.2495126,0.01072
-0.2495076,0.0024
-0.2495026,0.00804
-0.2494976,0.0048
-0.2494926,0.01112
-0.2494876,0.00724
-0.2494826,0.0136
-0.2494776,0.00572
-0.2494726,0.01208
-0.2494676,0.00308
-0.2494626,0.00964
-0.2494576,0.0022
-0.2494526,0.01016
-0.2494476,0.00488
-0.2494426,0.01132
-0.2494376,0.00552
-0.2494326,0.01344
-0.2494276,0.00624
-0.2494226,0.01068
-0.2494176,0.00672
