LECROYHDO6104,18334,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,16-Feb-2016 09:34:07,0                 
Time,Ampl
-1.0000046,-0.366
-0.99998459,-0.36
-0.99996459,-0.362
-0.99994459,-0.36
-0.99992459,-0.357
-0.99990459,-0.358
-0.99988459,-0.36
-0.99986459,-0.358
-0.99984459,-0.357
-0.99982459,-0.353
-0.99980459,-0.355
-0.99978459,-0.356
-0.99976459,-0.359
-0.99974459,-0.353
-0.99972459,-0.354
-0.99970459,-0.355
-0.99968459,-0.357
-0.99966459,-0.351
-0.99964459,-0.348
-0.99962459,-0.352
-0.99960459,-0.352
-0.99958459,-0.354
-0.99956459,-0.353
-0.99954459,-0.357
-0.99952459,-0.356
-0.99950459,-0.353
-0.99948459,-0.352
-0.99946459,-0.349
-0.99944459,-0.353
-0.99942459,-0.358
-0.99940459,-0.354
-0.99938459,-0.355
-0.99936459,-0.358
-0.99934459,-0.356
-0.99932459,-0.354
-0.99930459,-0.354
-0.99928459,-0.358
-0.99926459,-0.357
-0.99924459,-0.361
-0.99922459,-0.354
-0.99920459,-0.36
-0.99918459,-0.359
-0.99916459,-0.361
-0.99914459,-0.361
-0.99912459,-0.365
-0.99910459,-0.357
-0.99908459,-0.36
-0.99906459,-0.364
-0.99904459,-0.368
-0.99902459,-0.365
-0.99900459,-0.376
-0.99898459,-0.363
-0.99896459,-0.368
-0.99894459,-0.362
-0.99892459,-0.37
-0.99890459,-0.37
-0.99888459,-0.37
-0.99886459,-0.377
-0.99884459,-0.375
-0.99882459,-0.373
-0.99880459,-0.373
-0.99878459,-0.374
-0.99876459,-0.376
-0.99874459,-0.374
-0.99872459,-0.376
-0.99870459,-0.38
-0.99868459,-0.374
-0.99866459,-0.375
-0.99864459,-0.378
-0.99862459,-0.375
-0.99860459,-0.372
-0.99858459,-0.375
-0.99856459,-0.377
-0.99854459,-0.379
-0.99852459,-0.383
-0.99850459,-0.379
-0.99848459,-0.388
