LECROYHDO6104,18334,Waveform
Segments,1,SegmentSize,252
Segment,TrigTime,TimeSinceSegment1
#1,16-Feb-2016 09:44:17,0                 
Time,Ampl
-1.50169e-007,0.02854
-1.49769e-007,0.02906
-1.49369e-007,0.02842
-1.48969e-007,0.02558
-1.48569e-007,0.02254
-1.48169e-007,0.0167
-1.47769e-007,0.00882
-1.47369e-007,0.00042
-1.46969e-007,-0.00846
-1.46569e-007,-0.0171
-1.46169e-007,-0.02458
-1.45769e-007,-0.0297
-1.45369e-007,-0.0325
-1.44969e-007,-0.03258
-1.44569e-007,-0.03086
-1.44169e-007,-0.02674
-1.43769e-007,-0.0211
-1.43369e-007,-0.0133
-1.42969e-007,-0.00502
-1.42569e-007,0.00326
-1.42169e-007,0.01134
-1.41769e-007,0.01866
-1.41369e-007,0.02406
-1.40969e-007,0.0277
-1.40569e-007,0.02914
-1.40169e-007,0.02898
-1.39769e-007,0.02786
-1.39369e-007,0.0253
-1.38969e-007,0.02046
-1.38569e-007,0.01466
-1.38169e-007,0.00682
-1.37769e-007,-0.0009
-1.37369e-007,-0.00954
-1.36969e-007,-0.0177
-1.36569e-007,-0.02494
-1.36169e-007,-0.03042
-1.35769e-007,-0.03346
-1.35369e-007,-0.03454
-1.34969e-007,-0.0329
-1.34569e-007,-0.02746
-1.34169e-007,-0.0199
-1.33769e-007,-0.0109
-1.33369e-007,-0.00182
-1.32969e-007,0.00698
-1.32569e-007,0.01526
-1.32169e-007,0.0213
-1.31769e-007,0.02582
-1.31369e-007,0.02898
-1.30969e-007,0.02974
-1.30569e-007,0.02942
-1.30169e-007,0.02794
-1.29769e-007,0.02486
-1.29369e-007,0.0199
-1.28969e-007,0.01374
-1.28569e-007,0.00438
-1.28169e-007,-0.00462
-1.27769e-007,-0.01458
-1.27369e-007,-0.02326
-1.26969e-007,-0.02986
-1.26569e-007,-0.03366
-1.26169e-007,-0.03466
-1.25769e-007,-0.03274
-1.25369e-007,-0.02958
-1.24969e-007,-0.02414
-1.24569e-007,-0.01698
-1.24169e-007,-0.00862
-1.23769e-007,0.00018
-1.23369e-007,0.00878
-1.22969e-007,0.01622
-1.22569e-007,0.02254
-1.22169e-007,0.02654
-1.21769e-007,0.02878
-1.21369e-007,0.02918
-1.20969e-007,0.02898
-1.20569e-007,0.02618
-1.20169e-007,0.02262
-1.19769e-007,0.01722
-1.19369e-007,0.0097
-1.18969e-007,0.00094
-1.18569e-007,-0.00818
-1.18169e-007,-0.01694
-1.17769e-007,-0.02434
-1.17369e-007,-0.02954
-1.16969e-007,-0.03258
-1.16569e-007,-0.03306
-1.16169e-007,-0.03182
-1.15769e-007,-0.0283
-1.15369e-007,-0.02274
-1.14969e-007,-0.01506
-1.14569e-007,-0.0063
-1.14169e-007,0.00274
-1.13769e-007,0.0115
-1.13369e-007,0.01858
-1.12969e-007,0.02386
-1.12569e-007,0.02714
-1.12169e-007,0.02886
-1.11769e-007,0.02914
-1.11369e-007,0.02822
-1.10969e-007,0.02582
-1.10569e-007,0.02186
-1.10169e-007,0.01578
-1.09769e-007,0.00814
-1.09369e-007,-0.00094
-1.08969e-007,-0.01026
-1.08569e-007,-0.01926
-1.08169e-007,-0.02614
-1.07769e-007,-0.03098
-1.07369e-007,-0.0335
-1.06969e-007,-0.0331
-1.06569e-007,-0.03118
-1.06169e-007,-0.02642
-1.05769e-007,-0.01958
-1.05369e-007,-0.01226
-1.04969e-007,-0.00326
-1.04569e-007,0.00522
-1.04169e-007,0.01306
-1.03769e-007,0.01982
-1.03369e-007,0.02498
-1.02969e-007,0.02746
-1.02569e-007,0.02874
-1.02169e-007,0.02838
-1.01769e-007,0.0275
-1.01369e-007,0.02414
-1.00969e-007,0.01954
-1.00569e-007,0.01318
-1.00169e-007,0.00486
-9.97689e-008,-0.00466
-9.93689e-008,-0.01346
-9.89689e-008,-0.0221
-9.85689e-008,-0.02806
-9.81689e-008,-0.03214
-9.77689e-008,-0.0335
-9.73689e-008,-0.03246
-9.69689e-008,-0.02946
-9.65689e-008,-0.0245
-9.61689e-008,-0.01762
-9.57689e-008,-0.00962
-9.53689e-008,-0.00046
-9.49689e-008,0.00802
-9.45689e-008,0.01574
-9.41689e-008,0.02194
-9.37689e-008,0.0261
-9.33689e-008,0.02834
-9.29689e-008,0.02914
-9.25689e-008,0.02858
-9.21689e-008,0.02678
-9.17689e-008,0.0235
-9.13689e-008,0.0183
-9.09689e-008,0.01134
-9.05689e-008,0.00314
-9.01689e-008,-0.0059
-8.97689e-008,-0.01482
-8.93689e-008,-0.0229
-8.89689e-008,-0.02938
-8.85689e-008,-0.03298
-8.81689e-008,-0.0339
-8.77689e-008,-0.03294
-8.73689e-008,-0.02894
-8.69689e-008,-0.02362
-8.65689e-008,-0.01586
-8.61689e-008,-0.0077
-8.57689e-008,0.0011
-8.53689e-008,0.00974
-8.49689e-008,0.01666
-8.45689e-008,0.0227
-8.41689e-008,0.02674
-8.37689e-008,0.02846
-8.33689e-008,0.02918
-8.29689e-008,0.02866
-8.25689e-008,0.02642
-8.21689e-008,0.02278
-8.17689e-008,0.01682
-8.13689e-008,0.00846
-8.09689e-008,-0.00018
-8.05689e-008,-0.01022
-8.01689e-008,-0.01854
-7.97689e-008,-0.02566
-7.93689e-008,-0.03106
-7.89689e-008,-0.03338
-7.85689e-008,-0.03346
-7.81689e-008,-0.03246
-7.77689e-008,-0.02862
-7.73689e-008,-0.02234
-7.69689e-008,-0.01418
-7.65689e-008,-0.00526
-7.61689e-008,0.00394
-7.57689e-008,0.01258
-7.53689e-008,0.01978
-7.49689e-008,0.02534
-7.45689e-008,0.02874
-7.41689e-008,0.02978
-7.37689e-008,0.03026
-7.33689e-008,0.02878
-7.29689e-008,0.02566
-7.25689e-008,0.02106
-7.21689e-008,0.01498
-7.17689e-008,0.00678
-7.13689e-008,-0.0025
-7.09689e-008,-0.01202
-7.05689e-008,-0.0211
-7.01689e-008,-0.02802
-6.97689e-008,-0.0321
-6.93689e-008,-0.03362
-6.89689e-008,-0.03274
-6.85689e-008,-0.02962
-6.81689e-008,-0.02426
-6.77689e-008,-0.01798
-6.73689e-008,-0.00978
-6.69689e-008,-0.00162
-6.65689e-008,0.0075
-6.61689e-008,0.01498
-6.57689e-008,0.02082
-6.53689e-008,0.0251
-6.49689e-008,0.02786
-6.45689e-008,0.0289
-6.41689e-008,0.02894
-6.37689e-008,0.02686
-6.33689e-008,0.0243
-6.29689e-008,0.01898
-6.25689e-008,0.01238
-6.21689e-008,0.0039
-6.17689e-008,-0.00606
-6.13689e-008,-0.0149
-6.09689e-008,-0.02298
-6.05689e-008,-0.02874
-6.01689e-008,-0.03226
-5.97689e-008,-0.03338
-5.93689e-008,-0.0317
-5.89689e-008,-0.0287
-5.85689e-008,-0.02314
-5.81689e-008,-0.0163
-5.77689e-008,-0.00766
-5.73689e-008,0.00042
-5.69689e-008,0.00926
-5.65689e-008,0.01606
-5.61689e-008,0.02238
-5.57689e-008,0.02678
-5.53689e-008,0.02854
-5.49689e-008,0.02914
