LECROYHDO6104,18334,Waveform
Segments,1,SegmentSize,252
Segment,TrigTime,TimeSinceSegment1
#1,16-Feb-2016 09:44:17,0                 
Time,Ampl
-1.50234e-007,0.744
-1.49834e-007,0.43
-1.49434e-007,0.08
-1.49034e-007,-0.276
-1.48634e-007,-0.606
-1.48234e-007,-0.896
-1.47834e-007,-1.106
-1.47434e-007,-1.25
-1.47034e-007,-1.324
-1.46634e-007,-1.296
-1.46234e-007,-1.178
-1.45834e-007,-0.98
-1.45434e-007,-0.714
-1.45034e-007,-0.384
-1.44634e-007,-0.03
-1.44234e-007,0.316
-1.43834e-007,0.642
-1.43434e-007,0.914
-1.43034e-007,1.124
-1.42634e-007,1.248
-1.42234e-007,1.294
-1.41834e-007,1.25
-1.41434e-007,1.134
-1.41034e-007,0.926
-1.40634e-007,0.654
-1.40234e-007,0.334
-1.39834e-007,-0.034
-1.39434e-007,-0.38
-1.39034e-007,-0.704
-1.38634e-007,-0.97
-1.38234e-007,-1.166
-1.37834e-007,-1.3
-1.37434e-007,-1.318
-1.37034e-007,-1.264
-1.36634e-007,-1.12
-1.36234e-007,-0.898
-1.35834e-007,-0.61
-1.35434e-007,-0.276
-1.35034e-007,0.072
-1.34634e-007,0.418
-1.34234e-007,0.726
-1.33834e-007,0.992
-1.33434e-007,1.168
-1.33034e-007,1.272
-1.32634e-007,1.292
-1.32234e-007,1.24
-1.31834e-007,1.092
-1.31434e-007,0.85
-1.31034e-007,0.562
-1.30634e-007,0.222
-1.30234e-007,-0.144
-1.29834e-007,-0.49
-1.29434e-007,-0.796
-1.29034e-007,-1.044
-1.28634e-007,-1.218
-1.28234e-007,-1.312
-1.27834e-007,-1.316
-1.27434e-007,-1.232
-1.27034e-007,-1.07
-1.26634e-007,-0.818
-1.26234e-007,-0.52
-1.25834e-007,-0.178
-1.25434e-007,0.184
-1.25034e-007,0.504
-1.24634e-007,0.822
-1.24234e-007,1.052
-1.23834e-007,1.208
-1.23434e-007,1.294
-1.23034e-007,1.292
-1.22634e-007,1.194
-1.22234e-007,1.028
-1.21834e-007,0.772
-1.21434e-007,0.462
-1.21034e-007,0.116
-1.20634e-007,-0.242
-1.20234e-007,-0.584
-1.19834e-007,-0.874
-1.19434e-007,-1.102
-1.19034e-007,-1.25
-1.18634e-007,-1.322
-1.18234e-007,-1.3
-1.17834e-007,-1.184
-1.17434e-007,-0.994
-1.17034e-007,-0.736
-1.16634e-007,-0.412
-1.16234e-007,-0.07
-1.15834e-007,0.286
-1.15434e-007,0.61
-1.15034e-007,0.892
-1.14634e-007,1.112
-1.14234e-007,1.244
-1.13834e-007,1.294
-1.13434e-007,1.268
-1.13034e-007,1.156
-1.12634e-007,0.946
-1.12234e-007,0.678
-1.11834e-007,0.354
-1.11434e-007,0
-1.11034e-007,-0.354
-1.10634e-007,-0.68
-1.10234e-007,-0.954
-1.09834e-007,-1.154
-1.09434e-007,-1.274
-1.09034e-007,-1.322
