LECROYHDO6104,18334,Waveform
Segments,1,SegmentSize,1680
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2000 00:00:00,0                 
Time,Ampl
105449974.5,-118.858
105450034.1,-135.776
105450093.7,-115.786
105450153.4,-111.355
105450213,-112.226
105450272.6,-110.377
105450332.2,-109.496
105450391.8,-115.292
105450451.4,-129.681
105450511,-115.761
105450570.6,-112.577
105450630.2,-113.33
105450689.8,-115.01
105450749.4,-123.673
105450809,-115.938
105450868.6,-112.624
105450928.2,-113.49
105450987.8,-112.541
105451047.4,-114.076
105451107,-113.944
105451166.6,-112.956
105451226.2,-116.209
105451285.8,-119.084
105451345.4,-123.604
105451405,-119.885
105451464.7,-116.275
105451524.3,-118.715
105451583.9,-123.67
105451643.5,-122.794
105451703.1,-115.54
105451762.7,-112.824
105451822.3,-124.956
105451881.9,-113.201
105451941.5,-111.736
105452001.1,-113.017
105452060.7,-110.076
105452120.3,-110.483
105452179.9,-121.241
105452239.5,-125.723
105452299.1,-122.27
105452358.7,-113.926
105452418.3,-111.96
105452477.9,-112.776
105452537.5,-114.053
105452597.1,-119.889
105452656.7,-118.134
105452716.4,-115.52
105452776,-120.115
105452835.6,-116.418
105452895.2,-115.381
105452954.8,-124.332
105453014.4,-111.566
105453074,-110.848
105453133.6,-117.993
105453193.2,-125.922
105453252.8,-113.451
105453312.4,-115.194
105453372,-118.16
105453431.6,-124.797
105453491.2,-113.985
105453550.8,-112.154
105453610.4,-112.895
105453670,-110.571
105453729.6,-110.272
105453789.2,-116.896
105453848.8,-114.049
105453908.4,-110.382
105453968,-105.348
105454027.7,-108.674
105454087.3,-118.166
105454146.9,-119.861
105454206.5,-113.964
105454266.1,-121.224
105454325.7,-113.713
105454385.3,-109.729
105454444.9,-112.18
105454504.5,-115.682
105454564.1,-126.506
105454623.7,-113.168
105454683.3,-109.932
105454742.9,-111.452
105454802.5,-114.217
105454862.1,-113.58
105454921.7,-113.283
105454981.3,-113.051
105455040.9,-114.636
105455100.5,-121.431
105455160.1,-112.63
105455219.7,-115.771
105455279.4,-124.28
105455339,-132.609
105455398.6,-125.588
105455458.2,-119.742
105455517.8,-113.633
105455577.4,-127.175
105455637,-113.181
105455696.6,-115.745
105455756.2,-118.77
105455815.8,-114.457
105455875.4,-113.561
105455935,-112.959
105455994.6,-114.23
105456054.2,-117.168
105456113.8,-118.847
105456173.4,-123.156
105456233,-129.455
105456292.6,-119.463
105456352.2,-123.858
105456411.8,-119.504
105456471.4,-112.249
105456531,-115.381
105456590.7,-116.587
105456650.3,-110.352
105456709.9,-114.028
105456769.5,-123.12
105456829.1,-123.153
105456888.7,-120.309
105456948.3,-115.836
105457007.9,-114.52
105457067.5,-113.768
105457127.1,-112.489
105457186.7,-113.103
105457246.3,-113.328
105457305.9,-113.975
105457365.5,-121.093
105457425.1,-124.153
105457484.7,-112.968
105457544.3,-117.822
105457603.9,-113.031
105457663.5,-113.821
105457723.1,-114.161
105457782.7,-116.975
105457842.4,-124.285
105457902,-116.973
105457961.6,-126.459
105458021.2,-111.964
105458080.8,-111.265
105458140.4,-120.674
105458200,-122.953
105458259.6,-134.813
105458319.2,-115.527
105458378.8,-112.187
105458438.4,-115.046
105458498,-117.828
105458557.6,-124.171
105458617.2,-118.335
105458676.8,-113.404
105458736.4,-121.93
105458796,-119.973
105458855.6,-112.241
