freq MHz	phase ctrl on	phase ctrl off
-5.0	-1.0157013662	-1.08334144969
-4.5	-1.00857780955	-1.02214574981
-4.0	-0.831220646814	-1.05417318368
-3.5	-0.847366009868	-1.06354324973
-3.0	-0.795003630499	-0.985416749663
-2.5	-0.610440979166	-0.823508459364
-2.0	-0.585818965008	-0.885441408014
-1.5	-0.583822507592	-0.856009736197
-1.0	-0.477063440595	-0.749085187811
-0.5	-0.28659354195	-0.727356594014
0.0	-0.110509679566	-0.624897177585
0.5	0.0864366013753	-0.623463324927
1.0	-0.062114688644	-0.63323074479
1.5	-0.385982853862	-0.526818758575
2.0	-0.79801455667	-0.572170737969
2.5	-0.814257227911	-0.517912456823
3.0	-0.641744728555	-0.521972095382
3.5	-0.638004452352	-0.53039283336
4.0	-0.530957325204	-0.602651745346
4.5	-0.567391568415	-0.381669605254
5.0	-0.587779577142	-0.478324426645
