# Binning: 0.05 us
# Time (us)	Visibility	Visibility Err
1.522499999999999964e+01	6.092142277628141978e-01	3.072786985569700424e-01
1.527500000000000036e+01	6.802087654232443770e-01	4.694946138687667442e-02
1.532499999999999929e+01	7.031506070109538875e-01	4.821917009999435871e-02
1.537500000000000000e+01	6.132686868903486355e-01	6.463328676491414404e-02
1.542500000000000071e+01	5.777925840438514760e-01	7.370282485228496494e-02
1.547499999999999964e+01	6.850998090036184429e-01	7.133138336317841610e-02
1.552500000000000036e+01	6.776309271789384692e-01	8.666994502446276338e-02
1.557499999999999929e+01	4.639521543708012841e-01	1.137717810035934474e-01
1.562500000000000000e+01	3.709608097366015045e-01	1.371781307652901738e-01
1.567500000000000071e+01	6.216216216216216006e-01	1.305529436593643178e-01
1.572499999999999964e+01	6.497271186580741986e-01	1.340959904015903981e-01
1.577500000000000036e+01	4.017110181616666553e-01	2.101456840047103147e-01
